Código;Nome;Cota (m);Afluência (m³/s);Defluência (m³/s);Vazão Vertida (m³/s);Vazão Turbinada (m³/s);Vazão Natural (m³/s);Volume Útil (%);Vazão Incremental (m³/s);Data da Medição;Mês da Medição
19015;A. VERMELHA;378,51;1557,64;1485;0;1485;901,32;45,58;146,94;01/07/2022;7
19015;A. VERMELHA;378,48;973,66;1131;0;1131;891,52;45,31;147,16;02/07/2022;7
19015;A. VERMELHA;378,45;639,6;845;0;845;881,67;44,97;137,25;03/07/2022;7
19015;A. VERMELHA;378,44;1333,93;1346;0;1346;871,57;44,95;142,23;04/07/2022;7
19015;A. VERMELHA;378,45;1553,29;1505;0;1505;862,46;45,03;135,79;05/07/2022;7
19015;A. VERMELHA;378,47;1536,82;1416;0;1416;856,95;45,23;129,77;06/07/2022;7
19015;A. VERMELHA;378,51;1584,7;1379;0;1379;851,55;45,58;133,34;07/07/2022;7
19015;A. VERMELHA;378,53;1604,68;1435;0;1435;845,06;45,86;130,54;08/07/2022;7
19015;A. VERMELHA;378,51;959,65;1093;0;1093;835,67;45,64;115,19;09/07/2022;7
19015;A. VERMELHA;378,47;651,06;881;0;881;830,14;45,25;133,5;10/07/2022;7
19015;A. VERMELHA;378,46;1287,32;1384;1;1383;822,62;45,09;125,15;11/07/2022;7
19015;A. VERMELHA;378,48;1550,95;1418;0;1418;814,48;45,31;121,23;12/07/2022;7
19015;A. VERMELHA;378,5;1498,11;1365;0;1365;803,74;45,54;116,63;13/07/2022;7
19015;A. VERMELHA;378,52;1501,27;1368;0;1368;793,67;45,76;119,23;14/07/2022;7
19015;A. VERMELHA;378,51;1511,95;1621;0;1621;785,91;45,58;114,58;15/07/2022;7
19015;A. VERMELHA;378,46;979,72;1270;0;1270;777,97;45,09;105,87;16/07/2022;7
19015;A. VERMELHA;378,43;672,08;829;0;829;770,81;44,83;120,5;17/07/2022;7
19015;A. VERMELHA;378,43;1297,88;1322;0;1322;762,53;44,79;102,83;18/07/2022;7
19015;A. VERMELHA;378,42;1584,88;1609;0;1609;754,95;44,75;106,4;19/07/2022;7
19015;A. VERMELHA;378,45;1397,92;1229;0;1229;748,75;45,03;114,02;20/07/2022;7
19015;A. VERMELHA;378,4;1474,45;1800;0;1800;743,5;44,49;101,33;21/07/2022;7
19015;A. VERMELHA;378,39;1488,92;1513;0;1513;736,08;44,45;102,87;22/07/2022;7
19015;A. VERMELHA;378,33;941,48;1314;0;1314;725,31;43,82;101,23;23/07/2022;7
19015;A. VERMELHA;378,3;616,26;820;0;820;716,55;43,48;110,04;24/07/2022;7
19015;A. VERMELHA;378,23;1065,73;1484;0;1484;709,8;42,78;103,8;25/07/2022;7
19015;A. VERMELHA;378,22;1309,38;1369;0;1369;703,74;42,68;102,28;26/07/2022;7
19015;A. VERMELHA;378,23;1332,55;1261;0;1261;699,32;42,8;106,04;27/07/2022;7
19015;A. VERMELHA;378,23;1225;1225;0;1225;695,01;42,8;103,85;28/07/2022;7
19015;A. VERMELHA;378,2;1642,04;1797;0;1797;688,73;42,54;101,46;29/07/2022;7
19015;A. VERMELHA;378,19;1154,85;1262;0;1262;686,11;42,37;99,64;30/07/2022;7
19015;A. VERMELHA;378,14;618,78;904;0;904;681,15;41,89;98,92;31/07/2022;7
19015;A. VERMELHA;378,11;978,12;1156;0;1156;677,75;41,59;104,59;01/08/2022;8
19015;A. VERMELHA;378,1;1412,93;1484;0;1484;676,01;41,47;99,76;02/08/2022;8
