Código;Nome;Cota (m);Afluência (m³/s);Defluência (m³/s);Vazão Vertida (m³/s);Vazão Turbinada (m³/s);Vazão Natural (m³/s);Volume Útil (%);Vazão Incremental (m³/s);Data da Medição;Mês da Medição
19005;M. MORAES;663,56;1138,72;979;0;979;378,52;75,85;11,53;01/07/2022;7
19005;M. MORAES;663,6;711,48;605;0;605;375,29;76,22;154,77;02/07/2022;7
19005;M. MORAES;663,61;307,62;281;0;281;371,22;76,31;-55,6;03/07/2022;7
19005;M. MORAES;663,63;928,24;875;0;875;372,47;76,49;81,01;04/07/2022;7
19005;M. MORAES;663,66;1014,86;935;0;935;363,52;76,77;4,12;05/07/2022;7
19005;M. MORAES;663,71;1069,1;936;0;936;363,99;77,23;46,85;06/07/2022;7
19005;M. MORAES;663,77;1072,72;913;0;913;357,46;77,78;60,47;07/07/2022;7
19005;M. MORAES;663,82;1077,1;944;0;944;352,94;78,24;56,59;08/07/2022;7
19005;M. MORAES;663,74;732,04;945;0;945;351,86;77,5;32,75;09/07/2022;7
19005;M. MORAES;663,66;384,04;597;0;597;347,71;76,77;-32,78;10/07/2022;7
19005;M. MORAES;663,65;922,38;949;0;949;349,15;76,68;94,79;11/07/2022;7
19005;M. MORAES;663,71;1124,72;965;0;965;344,18;77,23;104,13;12/07/2022;7
19005;M. MORAES;663,73;969,24;916;0;916;338,03;77,41;-16,36;13/07/2022;7
19005;M. MORAES;663,73;941;941;0;941;333,71;77,41;-19,87;14/07/2022;7
19005;M. MORAES;663,78;1090,1;957;0;957;329,24;77,87;90,22;15/07/2022;7
19005;M. MORAES;663,68;689,8;956;0;956;327,72;76,95;-27,12;16/07/2022;7
19005;M. MORAES;663,63;411,9;545;0;545;326,42;76,49;-6,55;17/07/2022;7
19005;M. MORAES;663,63;971;971;0;971;320,57;76,49;108,28;18/07/2022;7
19005;M. MORAES;663,65;1028,24;975;0;975;314,55;76,68;17;19/07/2022;7
19005;M. MORAES;663,67;1012,24;959;0;959;308,36;76,86;4,48;20/07/2022;7
19005;M. MORAES;663,74;1145,34;959;0;959;303,62;77,5;9,57;21/07/2022;7
19005;M. MORAES;663,81;1144,34;958;0;958;302,5;78,15;32,31;22/07/2022;7
19005;M. MORAES;663,73;744,04;957;0;957;303,83;77,41;34,97;23/07/2022;7
19005;M. MORAES;663,5;338,73;951;0;951;304,58;75,3;-69,39;24/07/2022;7
19005;M. MORAES;663,45;823,9;957;0;957;297,04;74,84;-2,5;25/07/2022;7
19005;M. MORAES;663,48;1038,86;959;0;959;293,02;75,11;67,95;26/07/2022;7
19005;M. MORAES;663,56;1167,96;955;0;955;294,88;75,85;111,79;27/07/2022;7
19005;M. MORAES;663,59;1043,86;964;0;964;294,77;76,12;-42,32;28/07/2022;7
19005;M. MORAES;663,63;1076,48;970;0;970;294,86;76,49;-10,46;29/07/2022;7
19005;M. MORAES;663,54;809,42;1049;0;1049;291,86;75,66;30,44;30/07/2022;7
19005;M. MORAES;663,34;390,59;923;0;923;290,18;73,82;-5,18;31/07/2022;7
19005;M. MORAES;663,31;884,14;964;0;964;284,68;73,55;71,85;01/08/2022;8
19005;M. MORAES;663,4;1213,58;974;0;974;285,58;74,38;60,29;02/08/2022;8
19005;M. MORAES;663,49;1306,58;1067;0;1067;285,36;75,2;34,79;03/08/2022;8
19005;M. MORAES;663,59;1247,2;981;0;981;281,17;76,12;4,42;04/08/2022;8
19005;M. MORAES;663,69;1202,2;936;0;936;281,69;77,04;19,42;05/08/2022;8
