Mês;Afluência (m³/s);Defluência (m³/s);Vazão Vertida (m³/s);Vazão Turbinada (m³/s);Vazão Natural (m³/s);Volume Útil (%);Vazão Incremental (m³/s)
1;1606,28;1539,81;805,48;734,32;3330,72;82,76;400,36
2;2361,06;2286,07;1558,75;727,32;2616,55;88,24;239,96
3;1488,08;1427,65;625,84;801,81;1821,17;95,68;153,74
4;1144,68;1151,20;401,10;750,10;1359,61;98,12;145,11
5;723,73;739,06;78,10;660,97;772,95;96,24;79,62
6;640,10;661,53;24,53;637,00;697,13;96,04;66,69
7;870,00;883,31;0,00;883,31;334,54;77,17;31,31
8;748,89;766,06;0,00;766,06;280,94;74,26;27,67
9;733,42;702,37;0,00;702,37;303,78;74,97;17,40
10;586,11;580,10;0,74;579,35;500,48;75,35;49,11
11;793,84;773,43;0,00;773,43;523,75;74,95;51,40
12;745,75;748,32;0,00;748,32;1322,80;76,80;195,75
